,first_name,last_name,State,Product,NRx_Month_1,NRx_Month_2,NRx_Month_3,NRx_Month_4,NRx_Month_5,NRx_Month_6,TRx_Month_1,TRx_Month_2,TRx_Month_3,TRx_Month_4,TRx_Month_5,TRx_Month_6,TRx_Total
23,Eleanor,Teresia,Massachusetts,Cholecap,19,5,17,14,13,13,145,92,194,125,83,190,829.0
24,Carie,Kingsnode,Iowa,Cholecap,1,15,2,4,19,17,142,113,197,125,56,187,820.0
25,Elias,Clericoates,Ohio,Cholecap,17,4,3,6,18,0,166,38,137,179,194,102,816.0
26,Celestia,McPhail,Iowa,Cholecap,2,8,5,11,8,13,153,1,168,196,149,147,814.0
27,Chico,Ritmeier,Georgia,Cholecap,7,4,5,6,15,6,165,186,109,123,197,32,812.0
28,Gabby,Trevino,Texas,Cholecap,2,17,2,13,15,8,102,162,99,200,129,120,812.0
29,Alwyn,MacCawley,Colorado,Cholecap,2,8,13,16,20,17,166,111,120,159,121,130,807.0
30,Christian,Sturgess,Texas,Cholecap,10,18,6,19,15,17,113,106,161,60,189,177,806.0
31,Catharine,Latty,West Virginia,Cholecap,0,1,2,15,0,10,177,184,70,94,123,155,803.0
32,Craggy,Reaveley,Texas,Cholecap,7,12,12,18,7,5,31,186,149,114,140,183,803.0
33,Jenifer,Eudall,Ohio,Cholecap,16,9,4,3,6,14,5,175,187,115,137,178,797.0
34,Odelinda,Mullally,Arizona,Cholecap,14,2,17,13,8,6,165,84,101,142,146,158,796.0
35,Belinda,Syers,Arkansas,Cholecap,19,13,2,2,16,9,185,76,114,138,140,143,796.0
36,Cornelle,Venney,New York,Cholecap,12,5,4,7,12,9,72,129,102,199,172,112,786.0
37,Delora,Heasman,Florida,Cholecap,12,10,9,16,16,18,98,95,181,85,131,187,777.0
38,Mycah,Ashburner,Wisconsin,Cholecap,20,13,5,7,2,3,176,152,69,54,137,179,767.0
39,Shelbi,Fordy,New York,Cholecap,6,3,18,10,2,19,149,129,189,61,81,157,766.0
40,Otis,McBayne,Florida,Cholecap,2,16,17,0,1,7,141,166,5,194,129,128,763.0
41,Kenon,McCaig,District of Columbia,Cholecap,10,20,5,3,13,11,35,171,162,195,21,178,762.0
42,Monti,Trett,Alabama,Cholecap,6,19,1,15,19,20,142,135,167,182,26,108,760.0
43,Maxi,Caren,New York,Cholecap,1,18,13,8,17,17,90,46,193,94,188,147,758.0
44,Isacco,Crampton,New York,Cholecap,13,0,17,3,7,17,134,60,199,187,126,52,758.0
45,Lian,Boarleyson,Colorado,Cholecap,0,15,0,16,18,17,22,163,145,181,71,176,758.0
46,Karlen,Andretti,Alabama,Cholecap,10,20,18,17,7,1,119,151,168,82,146,91,757.0
47,Sonya,Gownge,Texas,Cholecap,15,15,14,6,5,17,187,180,10,158,133,87,755.0
48,Bidget,Ramel,West Virginia,Cholecap,10,9,0,3,3,7,186,184,126,57,190,11,754.0
49,Levin,Maclaine,California,Cholecap,1,10,11,19,17,10,184,191,3,73,106,197,754.0
50,Jacquenette,Konzelmann,Colorado,Cholecap,19,5,2,4,3,6,184,147,161,123,17,121,753.0
51,Mackenzie,Paumier,Minnesota,Cholecap,19,8,8,18,17,3,170,178,187,128,26,63,752.0
52,Lynde,O'Cullinane,Texas,Cholecap,6,13,12,3,14,1,109,182,89,144,94,133,751.0
53,Shawna,Simon,Minnesota,Cholecap,17,18,5,3,7,4,191,81,199,77,192,11,751.0
54,Ashlen,Paolazzi,Virginia,Cholecap,8,4,11,17,12,19,69,121,125,107,184,144,750.0
55,Maynard,Caplen,Texas,Cholecap,15,9,16,13,15,5,186,168,58,138,193,6,749.0
56,Dniren,Hadlow,Illinois,Cholecap,4,3,11,5,1,8,178,39,51,191,110,180,749.0
57,Marie-ann,Degoy,California,Cholecap,11,14,0,13,16,5,153,157,27,118,101,193,749.0
58,Sile,Nanelli,Alaska,Cholecap,7,1,17,6,20,3,190,36,157,186,145,33,747.0
59,Sebastiano,Cutmere,Michigan,Cholecap,7,19,13,4,8,4,129,187,11,117,130,171,745.0
60,Gipsy,Petry,Georgia,Cholecap,0,14,6,1,3,2,170,82,41,159,174,117,743.0
61,Missy,Kiefer,District of Columbia,Cholecap,9,2,14,6,0,5,103,125,90,112,143,169,742.0
62,Vladimir,Zelland,Washington,Cholecap,4,6,2,1,0,14,146,115,57,172,187,64,741.0
63,Ginevra,Ivens,Florida,Cholecap,11,1,5,8,3,12,76,20,143,173,133,191,736.0
64,Fonsie,Sollon,Colorado,Cholecap,9,9,14,16,15,5,199,171,173,27,81,82,733.0
65,Jania,Cresswell,Delaware,Cholecap,10,9,19,16,13,5,28,185,147,185,116,71,732.0
66,Selena,Girauld,Massachusetts,Cholecap,1,15,18,9,3,11,38,86,186,193,184,40,727.0
67,Franzen,Kubasiewicz,Wisconsin,Cholecap,9,2,3,14,13,11,86,92,144,153,128,116,719.0
68,Creighton,Castellone,Florida,Cholecap,2,10,12,2,17,1,122,165,149,50,37,194,717.0
69,Carolee,Speke,California,Cholecap,0,17,11,17,10,13,113,102,183,85,178,54,715.0
70,Maje,Santos,North Carolina,Cholecap,4,7,18,18,7,10,53,153,115,118,98,177,714.0
71,Teddie,Markovic,California,Cholecap,7,0,14,11,13,9,69,197,88,158,11,191,714.0
72,Alexi,Slowgrove,California,Cholecap,12,19,20,17,16,18,169,47,194,99,189,15,713.0
73,Ernie,Jakaway,California,Cholecap,5,3,10,1,19,6,109,182,98,108,149,66,712.0
74,Wilfred,Kervin,Minnesota,Cholecap,19,2,8,6,13,10,66,165,150,55,94,182,712.0
75,Cyrus,Eltune,North Carolina,Cholecap,11,11,15,20,8,13,45,139,191,98,193,46,712.0
76,Franny,Frazier,Missouri,Cholecap,13,20,8,5,8,20,62,145,79,159,178,87,710.0
77,Lucius,Lorenzetto,Illinois,Cholecap,14,9,4,9,2,8,56,14,143,178,165,152,708.0
78,Lizette,Quernel,District of Columbia,Cholecap,12,9,14,18,4,2,38,93,116,157,192,112,708.0
79,Licha,McGarrell,South Carolina,Cholecap,7,9,0,14,7,17,125,175,131,43,130,102,706.0
80,Robinia,Oades,Arizona,Cholecap,0,1,5,5,8,18,68,74,170,186,149,57,704.0
81,Christi,Corck,Georgia,Cholecap,10,7,13,18,4,7,83,128,161,154,171,6,703.0
82,Richmound,Willshire,District of Columbia,Cholecap,5,1,1,12,11,14,168,177,86,98,122,51,702.0
83,Virgil,Bushill,California,Cholecap,4,14,17,3,4,13,184,72,80,57,150,158,701.0
84,Davy,Gameson,Connecticut,Cholecap,13,5,20,13,16,12,31,184,43,103,181,157,699.0
85,Hashim,Samsworth,Virginia,Cholecap,11,2,4,18,7,10,172,141,188,79,32,85,697.0
86,Farand,Wigin,California,Cholecap,0,17,0,18,18,7,159,117,131,83,104,103,697.0
87,Niko,Rawstorn,Oklahoma,Cholecap,9,16,4,9,4,3,49,143,137,13,156,199,697.0
88,Pat,Truelock,Texas,Cholecap,1,2,13,7,5,3,149,97,32,176,170,71,695.0
89,Sonni,Gogan,Alabama,Cholecap,7,11,9,1,1,4,176,3,52,125,141,196,693.0
90,Lucina,Wenden,Iowa,Cholecap,11,19,4,1,0,16,83,157,117,93,126,115,691.0
91,Conan,Digan,Colorado,Cholecap,12,1,10,2,19,0,195,10,166,101,68,150,690.0
92,Massimiliano,Bradford,North Carolina,Cholecap,3,3,19,18,10,19,170,24,144,161,28,161,688.0
93,Roz,Clineck,Texas,Cholecap,18,19,6,19,8,2,182,96,180,149,69,3,679.0
94,Maddi,Hanssmann,New York,Cholecap,0,10,11,3,0,6,168,83,76,107,128,117,679.0
95,Ignace,Kitchener,New York,Cholecap,14,12,14,1,4,4,48,168,117,45,186,114,678.0
96,Budd,Bozworth,California,Cholecap,0,15,0,14,12,16,78,194,25,185,96,97,675.0
97,Hazel,Hedderly,Florida,Cholecap,4,17,13,6,13,4,46,85,163,11,170,199,674.0
98,Norine,Greenland,Texas,Cholecap,9,18,14,19,10,1,91,15,136,82,186,162,672.0
99,Cynde,Cudihy,Pennsylvania,Cholecap,16,3,20,12,8,5,188,38,86,161,55,142,670.0
100,Kandace,Hartwell,Massachusetts,Cholecap,11,18,20,7,15,18,198,159,3,33,128,149,670.0
101,Cathrine,Tomaschke,Iowa,Cholecap,20,19,7,7,11,16,69,91,114,154,174,66,668.0
102,Burnaby,Mennithorp,Mississippi,Cholecap,4,0,8,8,4,17,34,77,147,141,193,76,668.0
103,Benedikt,Magog,Washington,Cholecap,9,2,6,12,8,4,37,119,61,136,137,178,668.0
104,Ashia,Colenutt,California,Cholecap,20,16,10,15,16,2,181,2,166,55,101,162,667.0
105,Zachary,Letteresse,Arizona,Cholecap,15,10,15,15,4,18,94,25,103,57,194,193,666.0
106,Prentiss,Premble,Missouri,Cholecap,3,18,13,20,12,6,74,42,92,179,160,119,666.0
107,Jenn,Fysh,Utah,Cholecap,6,19,12,15,1,12,28,19,178,194,169,75,663.0
108,Toma,Dewhurst,Texas,Cholecap,5,14,1,16,8,8,74,199,184,32,161,13,663.0
109,Carroll,Testin,New York,Cholecap,11,4,11,20,18,5,35,176,126,191,61,73,662.0
110,Wells,Fraine,Michigan,Cholecap,19,4,16,16,9,14,38,172,106,177,104,65,662.0
111,Tamiko,O'Hagerty,Louisiana,Cholecap,13,8,16,2,5,19,0,110,144,69,171,167,661.0
112,Ade,Ballay,Massachusetts,Cholecap,19,13,2,7,7,4,154,7,135,52,183,130,661.0
113,Marv,Brennand,Ohio,Cholecap,19,11,3,20,12,13,156,55,197,91,54,107,660.0
114,Linus,Portchmouth,Minnesota,Cholecap,19,20,12,10,7,13,149,2,195,45,121,145,657.0
115,Roseline,Gloy,California,Cholecap,7,1,19,1,4,14,69,120,114,185,103,65,656.0
116,Alina,Pogg,Virginia,Cholecap,4,19,7,9,15,19,138,81,39,116,87,193,654.0
117,Jody,McGenis,Florida,Cholecap,13,1,19,9,5,10,91,65,142,139,161,55,653.0
118,Emalia,Frosdick,Illinois,Cholecap,7,19,19,0,13,7,57,123,105,66,107,195,653.0
119,Kelly,Toolan,Washington,Cholecap,8,12,13,1,3,8,73,69,192,122,22,174,652.0
120,Justine,Devo,Maryland,Cholecap,0,7,19,10,13,10,184,174,160,30,38,66,652.0
121,Simone,Ingham,California,Cholecap,7,20,11,5,0,0,101,141,78,52,85,195,652.0
122,Kendre,De Bruin,Wisconsin,Cholecap,6,14,12,7,3,5,155,98,120,110,18,150,651.0
123,Desiri,Warrilow,Texas,Cholecap,18,20,17,18,14,17,150,87,30,152,76,152,647.0
124,Elspeth,Tour,Tennessee,Cholecap,3,18,19,12,10,5,192,62,66,171,147,8,646.0
125,Therese,Craddy,Louisiana,Cholecap,1,13,11,17,7,3,60,104,169,67,167,79,646.0
126,Glenda,Lubeck,Texas,Cholecap,8,10,1,9,15,7,192,163,197,51,21,20,644.0
127,Jonah,Oswal,Minnesota,Cholecap,7,16,7,18,5,9,121,127,46,182,1,167,644.0
128,Mattie,Nisby,Ohio,Cholecap,3,17,2,10,2,12,38,134,149,34,153,134,642.0
129,Eldin,Mossbee,Nevada,Cholecap,15,13,6,0,4,8,93,171,35,108,68,166,641.0
130,Luis,Carlo,Michigan,Cholecap,14,12,13,18,11,4,59,184,200,19,61,111,634.0
131,Lolita,Brevetor,Georgia,Cholecap,17,12,7,10,2,19,173,71,158,44,23,165,634.0
132,Reynold,Blaszczyk,Texas,Cholecap,7,16,3,7,3,1,0,51,164,154,99,165,633.0
133,Kiley,Lindholm,Rhode Island,Cholecap,19,8,2,9,7,0,155,167,39,122,25,125,633.0
134,Chiquia,Warham,Illinois,Cholecap,17,12,15,15,10,18,130,81,118,161,141,1,632.0
135,Dael,MacVanamy,Nevada,Cholecap,18,6,15,2,15,16,93,191,88,0,124,134,630.0
136,Roxine,Zettler,Arizona,Cholecap,2,12,18,11,2,0,136,91,94,137,119,52,629.0
137,Jody,Eadmeades,South Carolina,Cholecap,13,10,12,3,11,2,34,198,155,140,25,77,629.0
138,Sonnie,Coots,Nevada,Cholecap,16,9,1,9,16,7,157,42,54,170,94,111,628.0
139,Xever,Percival,Illinois,Cholecap,17,12,16,0,8,3,44,62,35,139,168,179,627.0
140,Kirstyn,Peschmann,Alaska,Cholecap,10,9,17,14,16,18,191,68,64,134,12,158,627.0
141,Dotty,Seakings,Pennsylvania,Cholecap,8,13,11,10,14,16,40,168,127,146,123,21,625.0
142,Saleem,Goodding,Indiana,Cholecap,17,9,18,8,6,6,98,154,55,168,106,42,623.0
143,Corabella,De Souza,California,Cholecap,12,10,9,17,20,7,91,46,145,182,76,82,622.0
144,Madge,Cregan,Colorado,Cholecap,5,4,9,4,20,6,83,37,50,119,143,189,621.0
145,Iona,Sandcroft,Louisiana,Cholecap,18,20,4,4,7,6,154,70,66,50,160,119,619.0
146,Kristoffer,Braganca,New York,Cholecap,8,0,4,2,13,3,148,14,70,129,118,140,619.0
147,Aila,Amyes,Washington,Cholecap,14,19,5,20,7,16,183,77,68,124,49,117,618.0
148,Charity,Wernher,Utah,Cholecap,3,10,15,15,2,17,183,35,182,166,32,20,618.0
149,Hattie,Flury,Michigan,Cholecap,7,2,17,7,18,4,152,151,12,101,25,176,617.0
150,Corliss,Golden of Ireland,Florida,Cholecap,8,7,17,17,11,13,121,110,187,16,85,97,616.0
151,Haleigh,Railton,Alaska,Cholecap,9,8,7,4,4,19,165,156,108,30,90,66,615.0
152,Jaymee,Gonnard,New York,Cholecap,9,5,15,14,2,8,167,29,180,16,142,79,613.0
153,Gene,Pollard,Indiana,Cholecap,17,14,18,14,1,20,145,185,167,6,80,27,610.0
154,Judie,Macenzy,Florida,Cholecap,16,6,9,13,20,16,142,25,64,53,134,191,609.0
155,Kristin,Camplen,Utah,Cholecap,6,13,16,13,3,8,109,81,91,11,154,163,609.0
156,Walker,MacInherney,California,Cholecap,10,19,6,16,12,20,137,7,98,38,163,166,609.0
157,Tabatha,Manton,Hawaii,Cholecap,3,6,14,3,15,12,41,182,61,77,180,67,608.0
158,Atlanta,Chiverstone,Ohio,Cholecap,9,7,10,3,12,1,2,94,167,48,157,134,602.0
159,Shea,Abele,Virginia,Cholecap,0,10,13,13,16,9,144,31,59,43,128,195,600.0
160,Abran,Tonnesen,Idaho,Cholecap,18,13,9,13,2,14,197,15,113,128,19,128,600.0
161,Saba,Alway,New Jersey,Cholecap,5,7,19,17,11,12,45,158,102,81,90,124,600.0
162,Daisy,Luno,Pennsylvania,Cholecap,5,3,3,16,9,16,39,187,4,180,83,106,599.0
163,Grazia,Wrightam,California,Cholecap,4,11,20,19,7,11,196,112,77,93,65,56,599.0
164,Belva,Tubble,Florida,Cholecap,6,4,16,2,7,19,127,43,168,22,47,191,598.0
165,Raimund,Figin,California,Cholecap,14,7,17,0,11,8,142,60,88,109,71,127,597.0
166,Blakelee,Annandale,Ohio,Cholecap,7,16,14,5,4,17,171,10,16,156,81,161,595.0
167,Borg,Marwood,Connecticut,Cholecap,18,3,10,9,0,16,187,2,82,157,31,136,595.0
168,Daveta,Jurgen,District of Columbia,Cholecap,10,14,12,0,9,17,128,70,181,43,7,163,592.0
169,Ber,Durling,Utah,Cholecap,18,19,15,8,20,11,55,190,88,158,38,62,591.0
170,Aryn,Durdle,Colorado,Cholecap,7,5,11,6,18,9,94,43,147,75,44,188,591.0
171,Debbi,Osborne,New York,Cholecap,14,18,16,7,12,11,176,167,43,153,48,3,590.0
172,Matthiew,Rawcliffe,Georgia,Cholecap,17,0,8,20,6,2,155,74,102,0,125,134,590.0
173,Malia,Baitey,California,Cholecap,6,3,4,20,6,7,11,35,63,188,128,164,589.0
174,Lexine,Durden,California,Cholecap,20,19,14,11,20,15,134,85,112,133,16,106,586.0
175,Leon,Guilford,Florida,Cholecap,10,13,13,15,19,3,128,22,37,181,37,181,586.0
176,My,Gladwish,New York,Cholecap,3,11,3,1,15,9,55,186,136,49,154,6,586.0
177,Ursulina,Spooner,District of Columbia,Cholecap,12,5,18,13,2,0,196,71,172,31,112,4,586.0
178,Molli,Kytley,Florida,Cholecap,8,2,1,13,11,5,100,136,109,118,82,40,585.0
179,Estrella,Roden,Utah,Cholecap,2,4,6,9,15,4,54,93,187,58,11,181,584.0
180,Karita,Lyven,New York,Cholecap,11,15,10,0,20,12,67,37,64,162,124,130,584.0
181,Marget,Bullar,Georgia,Cholecap,7,13,10,15,19,12,2,146,125,89,153,69,584.0
182,Freida,Whiterod,District of Columbia,Cholecap,14,7,7,13,7,5,58,157,41,146,95,86,583.0
183,Allina,Oldfield,Texas,Cholecap,18,11,7,19,10,18,169,143,64,44,54,108,582.0
184,Kale,Kear,California,Cholecap,6,16,1,5,5,13,175,67,54,191,93,1,581.0
185,Marcos,Felix,Georgia,Cholecap,2,0,16,17,3,15,104,6,161,116,6,187,580.0
186,Cacilia,Farren,South Carolina,Cholecap,4,10,2,15,14,13,170,170,47,110,23,60,580.0
187,Valeria,Munro,Florida,Cholecap,18,3,1,12,8,15,105,141,109,43,31,150,579.0
188,Tomasine,Birdall,Kansas,Cholecap,16,1,18,13,20,12,59,195,86,86,103,48,577.0
189,Adrea,Stockall,New York,Cholecap,16,8,2,17,4,2,2,65,160,145,13,191,576.0
190,Lou,Skillington,California,Cholecap,19,16,5,18,18,16,193,55,0,24,155,149,576.0
191,Kelcey,Sackey,Florida,Cholecap,2,20,13,13,6,17,137,73,40,88,186,52,576.0
192,Mariellen,Derisly,Texas,Cholecap,10,6,10,7,14,13,64,24,92,53,196,145,574.0
193,Alonzo,Kyneton,California,Cholecap,14,12,2,20,11,20,123,143,54,28,87,137,572.0
194,Bruce,Tawse,Oregon,Cholecap,9,12,10,1,5,10,29,60,104,188,184,7,572.0
195,Aleece,Holburn,District of Columbia,Cholecap,14,6,4,16,3,1,91,141,109,156,41,33,571.0
196,Amaleta,Macquire,Illinois,Cholecap,2,14,0,8,14,1,200,69,21,112,126,41,569.0
197,Richmound,McGeady,Texas,Cholecap,16,20,20,11,1,14,54,32,81,161,83,157,568.0
198,Bridie,Antonchik,Pennsylvania,Cholecap,11,20,16,11,8,15,157,61,37,70,59,184,568.0
199,Nari,Sallings,Alabama,Cholecap,18,19,19,16,9,19,178,147,145,35,53,9,567.0
200,Loleta,Everington,California,Cholecap,19,9,17,16,11,12,46,89,200,124,62,45,566.0
201,Norry,Forsyde,North Carolina,Cholecap,20,11,6,15,0,10,68,45,114,13,191,132,563.0
202,Walden,Palliser,Alaska,Cholecap,0,20,9,0,3,2,111,116,76,164,92,3,562.0
203,Fabe,Poge,Nevada,Cholecap,16,10,12,6,7,20,20,118,118,63,74,168,561.0
204,Donn,Riddall,New York,Cholecap,20,18,3,11,11,13,124,10,183,46,193,5,561.0
205,Sukey,Simonard,Texas,Cholecap,10,19,7,7,1,13,124,49,107,111,102,67,560.0
206,Myrtia,Lendon,Indiana,Cholecap,20,3,19,14,2,7,138,184,64,35,0,138,559.0
207,Camala,Dosdale,Pennsylvania,Cholecap,18,9,15,20,1,14,165,146,111,36,52,49,559.0
208,Brand,Noden,Indiana,Cholecap,17,3,16,6,15,2,116,85,57,84,200,16,558.0
209,Albertina,Dudek,District of Columbia,Cholecap,14,12,18,2,18,3,26,101,199,132,26,74,558.0
210,Claresta,Boorn,Missouri,Cholecap,13,17,5,7,18,5,21,116,190,129,3,99,558.0
211,Haleigh,Cuncliffe,Virginia,Cholecap,17,15,13,4,8,11,84,77,148,83,61,103,556.0
212,Rinaldo,De La Hay,Texas,Cholecap,18,5,7,4,10,6,59,9,75,178,88,146,555.0
213,Eada,Ingman,Florida,Cholecap,4,16,8,1,0,7,0,159,136,46,156,58,555.0
214,Zorina,Joincey,New York,Cholecap,9,9,10,13,16,15,7,173,143,96,60,75,554.0
215,Fanya,Dyment,Virginia,Cholecap,2,0,19,6,18,3,97,43,103,77,74,159,553.0
216,Donella,Sandham,New York,Cholecap,3,6,7,1,2,17,38,106,30,122,154,103,553.0
217,Sherwood,Antliff,Oregon,Cholecap,16,19,10,4,19,0,71,96,167,26,131,61,552.0
218,Minor,Tattershall,Texas,Cholecap,9,2,9,17,6,10,79,37,112,154,99,71,552.0
219,Harriett,Fevers,Florida,Cholecap,3,9,1,14,5,4,121,99,102,39,119,72,552.0
220,Renata,Morecomb,Indiana,Cholecap,0,2,7,12,10,20,165,51,87,33,16,197,549.0
221,Veradis,Letteresse,Utah,Cholecap,5,1,20,14,11,9,7,139,67,30,170,134,547.0
222,Nicolais,Grewer,California,Cholecap,10,9,7,16,15,6,106,179,21,144,46,50,546.0
223,Karyn,Bolsover,Texas,Cholecap,3,15,14,12,11,11,173,44,162,59,91,16,545.0
224,Alisun,Gillet,Texas,Cholecap,13,20,1,19,9,8,66,118,0,103,158,100,545.0
225,Ugo,Kerwen,California,Cholecap,15,19,10,16,16,2,28,164,21,151,150,30,544.0
226,Yancey,Lared,California,Cholecap,15,5,4,0,4,4,82,138,78,1,121,122,542.0
227,Pearle,Peatheyjohns,Ohio,Cholecap,16,0,0,13,2,6,125,36,135,99,35,107,537.0
228,Cornela,Schoenfisch,Massachusetts,Cholecap,11,4,6,5,12,17,15,63,195,107,63,94,537.0
229,Rosy,Bubbings,Texas,Cholecap,8,11,9,9,20,1,155,65,51,81,137,48,537.0
230,Jerrome,Bernardes,Ohio,Cholecap,17,20,7,0,5,18,190,2,114,129,78,23,536.0
231,Reggie,Scoggan,California,Cholecap,13,20,11,0,13,8,129,137,99,15,123,32,535.0
232,Lotty,Callen,Florida,Cholecap,3,17,4,2,20,15,122,7,155,158,74,17,533.0
233,Tina,Legendre,Indiana,Cholecap,14,14,11,20,19,6,57,97,100,41,87,151,533.0
234,Mia,Churching,Kansas,Cholecap,11,18,13,1,4,3,97,22,132,61,89,131,532.0
235,Shannah,Giovannelli,Connecticut,Cholecap,11,12,15,5,5,12,20,59,175,52,107,119,532.0
236,Lawrence,Sparey,Louisiana,Cholecap,12,3,11,9,19,2,130,71,119,97,90,23,530.0
237,Maia,Spriggin,California,Cholecap,2,5,6,7,17,5,157,67,60,38,70,138,530.0
238,Loise,Dressell,Hawaii,Cholecap,2,11,1,8,7,12,29,197,64,62,15,162,529.0
239,Park,Seppey,New York,Cholecap,8,15,3,0,16,3,82,63,65,42,91,186,529.0
240,Web,Barkly,Texas,Cholecap,9,5,11,7,8,15,56,134,69,60,179,29,527.0
241,Marrissa,Rawsen,California,Cholecap,0,11,16,10,2,15,34,5,120,161,43,163,526.0
242,Sandy,Frascone,Ohio,Cholecap,20,18,2,17,0,18,135,38,27,174,67,85,526.0
243,Johna,Esseby,Georgia,Cholecap,9,8,14,2,14,5,80,117,102,103,31,93,526.0
244,Tisha,Bader,Connecticut,Cholecap,19,2,8,10,8,2,139,97,41,116,3,130,526.0
245,Elsie,Strangeway,Texas,Cholecap,17,17,7,12,2,13,138,138,50,51,119,29,525.0
246,Lyda,Kestian,Colorado,Cholecap,3,15,16,6,6,13,108,39,70,68,52,188,525.0
247,Freeland,Jenkins,Texas,Cholecap,8,3,9,14,5,7,55,180,30,56,30,173,524.0
248,Kelcey,McGrory,California,Cholecap,12,19,9,8,18,2,119,178,21,80,46,79,523.0
249,Hilliard,Yurkiewicz,Maryland,Cholecap,10,0,17,13,13,5,62,84,67,70,161,78,522.0
250,Monika,Pleat,South Carolina,Cholecap,5,16,10,15,5,0,16,152,4,164,76,109,521.0
251,Nona,Dempster,Florida,Cholecap,13,9,13,15,19,19,89,37,56,68,120,149,519.0
252,Susannah,Nares,Georgia,Cholecap,15,14,3,15,12,20,184,94,19,86,12,122,517.0
253,Jourdain,Chalke,Florida,Cholecap,12,11,7,12,17,15,63,94,12,179,96,73,517.0
254,Cati,de Almeida,Oklahoma,Cholecap,7,20,20,5,6,2,121,78,8,69,39,200,515.0
255,Evelina,D'Hooge,Delaware,Cholecap,16,3,10,0,13,8,123,30,20,167,95,74,509.0
256,Ludvig,Gotliffe,Michigan,Cholecap,0,20,16,3,17,4,1,43,126,178,146,11,505.0
257,Jeremias,Stotherfield,Florida,Cholecap,0,3,3,7,14,2,15,118,10,113,112,136,504.0
258,Mommy,Grigoliis,California,Cholecap,18,3,1,10,17,2,51,149,41,72,185,5,503.0
259,Georgeanne,Thirlaway,Kentucky,Cholecap,8,9,18,13,9,17,199,14,97,38,55,99,502.0
260,Pauly,Kesley,Virginia,Cholecap,8,0,9,4,16,7,32,12,52,92,116,198,502.0
261,Arleen,Spada,Florida,Cholecap,13,0,10,2,10,1,110,74,21,136,131,30,502.0
262,Blane,Rekes,Oklahoma,Cholecap,9,2,17,8,3,17,38,68,26,172,84,113,501.0
263,Barnebas,Bladesmith,Texas,Cholecap,6,1,12,2,0,18,84,156,39,85,114,21,499.0
264,Asia,Danilyak,Pennsylvania,Cholecap,7,16,16,3,9,4,79,58,157,40,102,59,495.0
265,Adan,Awcock,Texas,Cholecap,0,20,2,4,15,16,7,120,88,11,70,199,495.0
266,Sindee,Egan,Pennsylvania,Cholecap,19,4,20,16,13,0,80,162,154,33,54,9,492.0
267,Bartholemy,Wesley,Massachusetts,Cholecap,19,19,13,10,6,5,10,5,149,44,182,98,488.0
268,Halette,Muller,Massachusetts,Cholecap,18,2,17,12,2,6,37,106,125,147,3,69,487.0
